A1_155_	A1_073_	A1_097_	A2_255_	A2_034_	A2_044_	A2_099_	D5_002_	D5_031_	D5_004_	D5_053_	A2_101_	D5_ggg_
426 	350 	413 	667 	547 	527 	489 	195 	179 	159 	166 	463 	234 
497 	442 	513 	749 	661 	625 	531 	6 	16 	8 	7 	510 	23 
566 	605 	571 	584 	544 	521 	559 	0 	0 	0 	0 	622 	0 
496 	525 	530 	752 	597 	565 	470 	23 	35 	34 	23 	394 	43 
416 	531 	555 	614 	529 	548 	518 	10 	9 	34 	7 	675 	7 
355 	417 	327 	277 	346 	280 	314 	322 	288 	465 	298 	502 	258 
415 	556 	386 	401 	428 	321 	472 	184 	152 	225 	173 	529 	187 
442 	394 	506 	578 	472 	479 	421 	130 	113 	107 	105 	461 	175 
442 	556 	420 	486 	510 	455 	479 	37 	47 	39 	27 	796 	22 
525 	526 	496 	405 	527 	450 	563 	68 	57 	87 	56 	456 	44 
419 	299 	481 	842 	638 	631 	531 	2 	0 	0 	1 	376 	2 
372 	362 	377 	411 	348 	340 	331 	226 	233 	206 	213 	354 	282 
235 	244 	195 	166 	182 	184 	274 	418 	391 	648 	404 	323 	283 
485 	617 	510 	442 	413 	370 	432 	3 	0 	3 	4 	645 	4 
312 	310 	277 	281 	275 	263 	303 	308 	297 	336 	380 	248 	323 
161 	136 	181 	191 	175 	162 	115 	431 	390 	624 	432 	155 	728 
419 	450 	340 	466 	479 	430 	508 	27 	19 	6 	21 	542 	12 
402 	140 	512 	261 	229 	470 	296 	409 	237 	157 	73 	231 	92 
216 	283 	262 	176 	234 	220 	240 	319 	284 	424 	265 	275 	257 
390 	430 	470 	540 	434 	436 	336 	0 	0 	0 	0 	401 	0 
191 	234 	185 	154 	197 	158 	196 	308 	247 	586 	307 	273 	281 
365 	273 	379 	596 	495 	471 	419 	0 	0 	0 	0 	286 	0 
373 	306 	343 	375 	393 	379 	363 	74 	71 	74 	74 	328 	85 
283 	242 	232 	251 	247 	240 	231 	245 	269 	195 	276 	194 	314 
314 	130 	399 	242 	176 	381 	218 	415 	191 	215 	80 	263 	84 
383 	150 	423 	203 	207 	370 	287 	367 	194 	149 	75 	196 	91 
360 	130 	432 	219 	181 	371 	254 	363 	178 	151 	58 	212 	83 
271 	320 	314 	361 	297 	282 	292 	92 	122 	114 	92 	230 	189 
316 	354 	241 	223 	273 	230 	269 	155 	141 	177 	165 	318 	99 
342 	132 	359 	209 	184 	360 	236 	431 	184 	144 	71 	206 	71 
314 	119 	474 	322 	194 	460 	184 	175 	183 	146 	34 	160 	119 
206 	193 	208 	211 	205 	171 	199 	256 	202 	309 	216 	241 	226 
243 	235 	224 	332 	393 	374 	348 	39 	50 	32 	34 	465 	41 
266 	287 	292 	289 	295 	291 	277 	107 	132 	110 	111 	189 	147 
270 	291 	201 	389 	351 	303 	354 	0 	0 	0 	0 	624 	0 
248 	259 	256 	385 	320 	293 	301 	84 	79 	103 	70 	271 	112 
145 	120 	278 	535 	303 	329 	167 	71 	100 	155 	42 	140 	395 
335 	126 	354 	208 	189 	381 	241 	337 	157 	107 	65 	180 	63 
134 	126 	175 	110 	109 	141 	129 	269 	277 	393 	284 	117 	433 
317 	360 	288 	294 	343 	238 	352 	1 	3 	5 	5 	470 	3 
276 	99 	384 	217 	185 	400 	217 	266 	169 	156 	44 	182 	78 
285 	127 	388 	179 	148 	348 	210 	282 	171 	171 	53 	200 	74 
321 	570 	384 	255 	222 	213 	194 	0 	0 	0 	0 	413 	0 
80 	69 	96 	210 	221 	301 	248 	156 	199 	228 	135 	184 	439 
159 	98 	276 	422 	259 	285 	177 	109 	89 	156 	52 	160 	291 
244 	217 	237 	239 	231 	258 	272 	92 	127 	70 	127 	185 	147 
64 	74 	308 	582 	241 	301 	185 	49 	85 	111 	29 	115 	264 
279 	122 	261 	132 	165 	289 	231 	314 	177 	120 	63 	174 	58 
290 	357 	318 	240 	275 	257 	249 	4 	3 	9 	7 	363 	4 
256 	134 	314 	149 	165 	278 	250 	283 	145 	124 	59 	160 	58 
316 	277 	279 	339 	316 	275 	254 	11 	24 	21 	11 	215 	37 
79 	80 	91 	58 	50 	77 	89 	270 	425 	215 	374 	53 	507 
318 	133 	289 	164 	160 	297 	221 	246 	156 	90 	62 	154 	58 
172 	143 	178 	234 	186 	176 	157 	139 	150 	165 	140 	160 	220 
195 	170 	209 	170 	172 	200 	197 	134 	167 	137 	146 	172 	138 
190 	159 	164 	198 	124 	183 	159 	151 	147 	200 	150 	175 	164 
253 	491 	268 	190 	187 	183 	201 	0 	0 	0 	0 	378 	0 
222 	73 	327 	187 	190 	272 	175 	213 	152 	103 	39 	135 	61 
280 	96 	320 	138 	142 	263 	184 	210 	138 	129 	48 	133 	57 
228 	101 	288 	105 	134 	284 	210 	298 	133 	99 	53 	147 	47 
124 	114 	87 	50 	73 	84 	88 	211 	285 	301 	347 	96 	259 
243 	94 	255 	174 	139 	250 	187 	277 	117 	91 	43 	146 	52 
278 	222 	291 	296 	264 	285 	212 	0 	0 	0 	0 	203 	0 
252 	106 	248 	141 	141 	243 	155 	249 	150 	100 	57 	139 	66 
291 	338 	240 	80 	189 	194 	292 	45 	65 	34 	70 	145 	37 
132 	112 	104 	114 	129 	108 	124 	206 	225 	207 	246 	122 	188 
0 	0 	233 	0 	0 	1779 	0 	0 	0 	0 	0 	0 	0 
254 	75 	244 	126 	131 	232 	182 	218 	154 	128 	46 	153 	46 
51 	84 	57 	90 	64 	60 	53 	236 	228 	373 	207 	66 	403 
178 	206 	157 	85 	122 	137 	137 	114 	197 	138 	234 	109 	136 
261 	117 	238 	96 	108 	243 	185 	271 	120 	76 	55 	137 	34 
239 	92 	263 	111 	144 	226 	153 	210 	148 	87 	47 	101 	50 
217 	56 	260 	145 	119 	239 	163 	207 	129 	111 	32 	140 	44 
235 	87 	263 	103 	111 	223 	164 	226 	111 	97 	42 	124 	63 
92 	79 	202 	280 	175 	197 	99 	66 	107 	82 	75 	61 	245 
182 	73 	266 	100 	99 	229 	167 	187 	118 	124 	38 	122 	41 
191 	82 	234 	117 	98 	253 	144 	198 	128 	95 	30 	109 	50 
185 	95 	153 	175 	180 	168 	153 	94 	86 	85 	83 	164 	103 
192 	79 	254 	111 	104 	215 	165 	191 	105 	80 	43 	114 	46 
86 	63 	196 	331 	178 	185 	106 	55 	57 	85 	35 	97 	192 
221 	80 	239 	97 	90 	216 	168 	215 	109 	59 	43 	87 	34 
124 	119 	121 	117 	127 	118 	136 	147 	133 	127 	131 	113 	116 
231 	220 	167 	185 	200 	194 	231 	0 	0 	0 	0 	194 	0 
164 	200 	205 	217 	224 	184 	188 	1 	0 	1 	1 	234 	1 
156 	164 	114 	68 	106 	114 	147 	111 	111 	123 	175 	107 	117 
167 	61 	262 	161 	103 	243 	113 	125 	103 	88 	22 	91 	54 
167 	153 	110 	97 	128 	124 	157 	86 	115 	81 	158 	106 	96 
204 	76 	210 	86 	94 	173 	143 	177 	108 	92 	37 	106 	30 
105 	111 	105 	107 	100 	114 	110 	102 	110 	167 	127 	99 	160 
175 	199 	182 	159 	180 	174 	209 	0 	0 	0 	0 	213 	0 
142 	143 	145 	202 	180 	166 	152 	38 	43 	61 	35 	131 	37 
107 	139 	89 	59 	90 	87 	131 	113 	124 	140 	133 	92 	97 
9 	9 	13 	14 	18 	8 	15 	246 	228 	264 	214 	11 	321 
110 	110 	118 	113 	113 	96 	106 	122 	85 	93 	107 	101 	94 
195 	82 	215 	63 	66 	162 	153 	144 	81 	56 	31 	80 	26 
172 	78 	194 	79 	81 	175 	113 	157 	92 	62 	29 	88 	27 
136 	132 	124 	198 	193 	151 	186 	0 	0 	0 	0 	200 	0 
139 	150 	117 	92 	127 	127 	152 	59 	48 	50 	40 	167 	31 
70 	79 	76 	76 	94 	78 	69 	140 	116 	153 	109 	89 	137 
143 	58 	168 	65 	85 	151 	141 	127 	96 	70 	46 	76 	29 
56 	68 	59 	37 	57 	48 	66 	181 	145 	172 	155 	80 	127 
152 	44 	168 	83 	75 	131 	106 	151 	73 	63 	34 	100 	37 
130 	176 	132 	50 	75 	109 	122 	56 	65 	46 	83 	58 	59 
65 	61 	61 	81 	92 	73 	72 	102 	102 	112 	116 	95 	99 
86 	89 	78 	45 	49 	100 	107 	61 	130 	61 	148 	28 	76 
57 	38 	42 	45 	51 	46 	37 	91 	142 	157 	102 	51 	164 
64 	80 	64 	65 	58 	55 	69 	99 	92 	122 	98 	69 	83 
98 	119 	108 	111 	106 	88 	139 	0 	0 	0 	0 	216 	0 
122 	48 	146 	69 	68 	102 	108 	115 	61 	55 	23 	49 	18 
138 	42 	146 	59 	64 	101 	85 	105 	71 	35 	21 	61 	28 
109 	140 	99 	87 	105 	96 	98 	17 	20 	28 	25 	90 	21 
67 	55 	58 	64 	47 	55 	52 	90 	87 	117 	81 	65 	95 
110 	123 	97 	94 	85 	88 	108 	0 	0 	0 	0 	195 	1 
61 	54 	53 	40 	53 	63 	53 	85 	92 	96 	82 	71 	95 
101 	100 	74 	39 	50 	64 	115 	70 	72 	23 	84 	44 	40 
61 	51 	71 	83 	55 	56 	70 	71 	74 	63 	57 	62 	97 
107 	45 	101 	38 	50 	94 	72 	102 	60 	61 	26 	55 	32 
102 	35 	123 	42 	57 	99 	63 	103 	56 	42 	18 	60 	16 
70 	89 	62 	17 	57 	72 	70 	61 	83 	42 	79 	41 	14 
55 	35 	95 	53 	49 	96 	64 	89 	56 	51 	17 	71 	18 
40 	37 	30 	40 	54 	48 	57 	81 	61 	76 	70 	55 	99 
73 	79 	60 	70 	69 	63 	89 	45 	33 	27 	38 	65 	35 
0 	2 	2 	0 	0 	2 	0 	155 	128 	158 	152 	0 	123 
70 	75 	78 	89 	76 	75 	66 	11 	9 	30 	12 	79 	27 
38 	35 	44 	43 	43 	40 	43 	70 	78 	84 	75 	50 	53 
82 	187 	74 	18 	46 	62 	127 	0 	0 	0 	0 	52 	0 
42 	38 	26 	38 	38 	33 	35 	75 	78 	76 	58 	42 	64 
69 	78 	61 	25 	31 	47 	61 	36 	76 	23 	87 	21 	27 
73 	30 	91 	41 	57 	109 	64 	51 	49 	12 	10 	36 	15 
80 	112 	87 	48 	56 	74 	92 	2 	2 	1 	1 	62 	1 
82 	81 	67 	68 	71 	68 	66 	0 	0 	0 	0 	109 	0 
40 	47 	36 	40 	36 	30 	40 	68 	58 	65 	46 	49 	53 
80 	93 	67 	68 	81 	64 	67 	0 	0 	0 	0 	87 	0 
63 	75 	68 	67 	85 	68 	58 	12 	11 	12 	5 	60 	17 
58 	52 	58 	89 	87 	61 	57 	0 	0 	0 	0 	128 	0 
1 	0 	2 	2 	1 	0 	1 	101 	101 	158 	98 	0 	115 
60 	42 	61 	69 	41 	62 	47 	27 	29 	29 	25 	40 	41 
43 	36 	40 	37 	45 	37 	47 	77 	53 	32 	52 	28 	43 
69 	52 	72 	104 	71 	78 	45 	0 	0 	0 	0 	47 	0 
63 	67 	40 	28 	45 	44 	53 	33 	23 	28 	29 	65 	14 
31 	41 	31 	24 	29 	30 	27 	58 	53 	42 	58 	27 	73 
7 	10 	7 	7 	7 	1 	5 	95 	83 	129 	82 	5 	74 
2 	4 	4 	3 	2 	1 	3 	71 	97 	121 	73 	3 	127 
40 	47 	58 	52 	54 	56 	33 	22 	28 	17 	29 	38 	34 
46 	35 	32 	20 	33 	21 	40 	44 	47 	49 	59 	39 	42 
57 	34 	67 	24 	36 	64 	43 	67 	28 	21 	11 	35 	5 
55 	18 	71 	25 	33 	69 	41 	62 	28 	20 	21 	31 	12 
38 	28 	31 	25 	37 	33 	30 	47 	36 	30 	53 	35 	45 
44 	53 	71 	65 	63 	59 	56 	0 	0 	0 	0 	56 	0 
27 	31 	50 	19 	33 	21 	33 	45 	36 	44 	43 	29 	41 
61 	53 	48 	51 	49 	52 	64 	1 	0 	0 	0 	61 	0 
52 	58 	63 	65 	60 	48 	47 	0 	0 	0 	0 	44 	0 
31 	17 	26 	27 	21 	20 	29 	42 	27 	74 	24 	24 	58 
19 	33 	25 	25 	23 	24 	24 	51 	43 	44 	38 	19 	45 
25 	32 	29 	25 	36 	33 	30 	28 	25 	46 	36 	23 	32 
0 	0 	0 	0 	0 	0 	0 	49 	68 	115 	56 	0 	107 
16 	29 	24 	20 	17 	27 	22 	49 	25 	58 	34 	31 	39 
23 	26 	28 	21 	23 	12 	20 	44 	36 	48 	34 	34 	36 
32 	21 	29 	13 	24 	14 	30 	29 	41 	33 	41 	22 	38 
38 	33 	44 	33 	31 	42 	40 	11 	17 	17 	16 	24 	21 
32 	29 	26 	20 	31 	22 	25 	37 	29 	19 	42 	23 	24 
34 	32 	44 	30 	38 	19 	34 	15 	14 	13 	19 	22 	22 
37 	39 	33 	30 	43 	37 	44 	1 	0 	0 	0 	70 	1 
30 	43 	13 	9 	23 	26 	30 	30 	27 	17 	32 	22 	17 
53 	97 	45 	1 	17 	32 	62 	0 	0 	0 	0 	10 	0 
38 	35 	29 	30 	35 	32 	36 	8 	3 	5 	5 	40 	7 
0 	0 	0 	0 	0 	0 	0 	51 	72 	42 	64 	0 	44 
16 	12 	25 	11 	24 	17 	19 	26 	23 	31 	16 	16 	36 
0 	0 	0 	0 	0 	0 	0 	48 	47 	58 	51 	0 	66 
17 	15 	17 	13 	12 	19 	16 	23 	34 	36 	31 	5 	30 
39 	22 	46 	7 	15 	42 	27 	19 	16 	8 	12 	12 	3 
23 	30 	29 	23 	30 	18 	28 	17 	5 	12 	8 	21 	23 
19 	30 	19 	5 	21 	16 	21 	21 	23 	21 	28 	23 	18 
32 	10 	44 	36 	23 	11 	22 	9 	21 	9 	12 	5 	26 
43 	53 	34 	19 	41 	25 	22 	0 	0 	0 	0 	21 	0 
30 	28 	32 	36 	29 	31 	25 	0 	0 	0 	0 	46 	0 
20 	13 	16 	22 	21 	23 	15 	16 	15 	32 	12 	22 	30 
14 	7 	13 	39 	45 	42 	44 	0 	0 	0 	0 	48 	0 
17 	22 	19 	13 	17 	9 	16 	27 	23 	19 	24 	20 	25 
11 	16 	18 	35 	18 	19 	16 	22 	18 	21 	16 	15 	26 
22 	21 	9 	17 	13 	14 	7 	25 	24 	22 	23 	22 	26 
30 	31 	31 	44 	40 	33 	16 	0 	0 	0 	0 	20 	0 
20 	22 	22 	22 	14 	14 	20 	19 	22 	11 	22 	10 	24 
0 	1 	0 	1 	3 	0 	0 	53 	47 	60 	27 	0 	47 
25 	69 	31 	12 	30 	25 	25 	0 	0 	0 	0 	21 	0 
18 	27 	16 	26 	23 	26 	22 	4 	9 	16 	12 	26 	13 
26 	40 	30 	29 	29 	21 	23 	0 	0 	0 	0 	39 	0 
23 	14 	14 	16 	27 	9 	12 	27 	15 	12 	18 	13 	36 
23 	18 	5 	13 	13 	18 	18 	28 	26 	20 	24 	13 	13 
19 	18 	9 	13 	12 	16 	10 	19 	22 	22 	24 	12 	30 
19 	21 	20 	27 	23 	33 	24 	5 	5 	10 	5 	18 	14 
15 	10 	10 	6 	18 	19 	18 	32 	20 	20 	17 	12 	18 
33 	26 	19 	28 	22 	18 	24 	0 	0 	1 	1 	40 	2 
18 	16 	13 	13 	20 	9 	8 	21 	23 	19 	17 	14 	20 
3 	4 	14 	2 	11 	4 	4 	19 	33 	33 	27 	3 	50 
25 	27 	27 	19 	15 	22 	38 	0 	0 	0 	0 	28 	0 
15 	14 	14 	10 	13 	9 	13 	14 	20 	28 	19 	11 	15 
14 	16 	14 	6 	18 	9 	21 	17 	16 	21 	21 	10 	9 
11 	22 	13 	12 	8 	10 	15 	15 	14 	20 	24 	9 	19 
27 	24 	13 	17 	22 	21 	31 	4 	5 	3 	1 	15 	8 
3 	2 	1 	0 	2 	3 	0 	38 	44 	18 	35 	1 	41 
18 	35 	24 	12 	13 	10 	26 	1 	1 	6 	2 	38 	1 
15 	16 	14 	10 	12 	13 	6 	19 	19 	19 	21 	11 	12 
22 	13 	20 	18 	17 	14 	19 	10 	13 	5 	6 	9 	16 
13 	12 	6 	1 	2 	9 	18 	19 	36 	6 	41 	3 	14 
28 	21 	26 	12 	28 	25 	24 	0 	0 	0 	0 	16 	0 
28 	35 	16 	17 	15 	18 	25 	2 	1 	2 	2 	16 	3 
17 	18 	11 	6 	11 	11 	15 	17 	14 	17 	15 	15 	13 
0 	0 	1 	0 	0 	0 	0 	35 	39 	37 	35 	0 	32 
15 	19 	11 	10 	9 	12 	7 	15 	15 	22 	15 	13 	11 
22 	22 	30 	18 	20 	20 	21 	0 	0 	0 	0 	18 	0 
0 	1 	2 	0 	0 	0 	2 	30 	47 	23 	17 	0 	48 
10 	9 	11 	14 	6 	13 	14 	13 	15 	24 	15 	9 	16 
17 	29 	16 	20 	12 	19 	21 	0 	0 	0 	0 	33 	0 
0 	0 	0 	0 	0 	0 	0 	43 	25 	30 	37 	0 	31 
13 	7 	11 	12 	13 	10 	9 	18 	13 	15 	15 	17 	11 
0 	0 	0 	0 	0 	0 	0 	35 	35 	33 	32 	0 	28 
15 	19 	9 	2 	10 	11 	13 	14 	15 	6 	14 	21 	12 
10 	7 	19 	12 	13 	8 	7 	18 	11 	16 	12 	6 	18 
12 	19 	25 	4 	6 	19 	13 	7 	10 	7 	28 	4 	3 
7 	4 	8 	8 	4 	12 	10 	20 	16 	17 	18 	9 	21 
11 	8 	6 	11 	14 	11 	11 	13 	9 	17 	11 	16 	9 
16 	11 	13 	29 	23 	17 	14 	0 	0 	0 	0 	24 	0 
28 	26 	14 	6 	13 	15 	33 	0 	0 	0 	0 	11 	0 
13 	13 	21 	13 	16 	21 	12 	7 	4 	1 	4 	14 	4 
9 	16 	12 	9 	14 	10 	12 	8 	11 	11 	8 	17 	5 
18 	16 	15 	15 	19 	16 	12 	6 	4 	3 	3 	10 	4 
20 	16 	19 	6 	12 	8 	11 	7 	8 	6 	8 	11 	4 
19 	22 	6 	3 	4 	10 	17 	5 	15 	5 	21 	7 	2 
6 	8 	6 	12 	6 	7 	4 	10 	17 	10 	9 	4 	36 
22 	16 	10 	4 	6 	7 	12 	17 	12 	10 	9 	7 	3 
7 	8 	8 	11 	7 	11 	10 	6 	18 	15 	21 	8 	5 
10 	3 	16 	22 	15 	10 	14 	6 	4 	7 	2 	3 	22 
9 	11 	5 	6 	14 	5 	17 	12 	7 	15 	10 	13 	10 
15 	14 	9 	1 	13 	8 	12 	13 	16 	5 	14 	9 	4 
12 	60 	11 	2 	10 	7 	11 	0 	0 	0 	0 	19 	0 
13 	11 	6 	6 	11 	5 	14 	13 	17 	6 	11 	8 	10 
17 	10 	16 	19 	19 	23 	13 	0 	0 	0 	0 	14 	0 
0 	0 	0 	0 	0 	0 	0 	24 	16 	25 	15 	0 	51 
5 	7 	6 	11 	15 	5 	4 	17 	15 	14 	5 	9 	14 
16 	15 	19 	13 	17 	15 	21 	0 	0 	0 	0 	11 	0 
7 	7 	5 	6 	6 	10 	7 	5 	12 	26 	11 	6 	18 
18 	20 	20 	12 	11 	8 	14 	0 	0 	1 	0 	21 	1 
6 	6 	7 	4 	5 	9 	4 	13 	21 	15 	11 	15 	8 
8 	17 	9 	9 	9 	12 	11 	7 	14 	8 	9 	7 	4 
10 	16 	16 	11 	11 	20 	16 	0 	0 	0 	0 	23 	0 
11 	16 	14 	20 	12 	8 	22 	0 	0 	0 	0 	20 	0 
7 	11 	8 	10 	6 	7 	9 	10 	14 	9 	7 	18 	6 
19 	16 	14 	16 	8 	15 	14 	0 	0 	0 	0 	20 	0 
0 	0 	0 	0 	0 	0 	0 	16 	25 	26 	19 	0 	34 
12 	7 	10 	13 	13 	10 	8 	4 	5 	4 	12 	11 	10 
10 	10 	9 	10 	4 	8 	6 	11 	11 	3 	14 	13 	8 
15 	14 	17 	16 	12 	18 	12 	1 	1 	2 	0 	7 	1 
10 	28 	10 	7 	9 	10 	10 	0 	0 	0 	0 	30 	1 
5 	8 	7 	4 	6 	7 	9 	12 	22 	3 	13 	4 	14 
0 	1 	0 	0 	0 	0 	0 	26 	15 	32 	22 	0 	17 
0 	0 	0 	1 	0 	0 	0 	28 	23 	11 	48 	0 	2 
19 	16 	7 	17 	21 	10 	16 	0 	0 	0 	0 	7 	0 
8 	6 	5 	10 	7 	4 	7 	16 	12 	12 	10 	6 	10 
10 	11 	11 	3 	10 	9 	4 	10 	13 	3 	15 	7 	7 
9 	7 	3 	16 	12 	4 	13 	5 	5 	11 	7 	6 	15 
6 	10 	7 	10 	15 	11 	9 	4 	3 	7 	5 	12 	13 
12 	10 	10 	7 	4 	5 	13 	14 	12 	6 	3 	10 	6 
0 	0 	0 	0 	0 	0 	0 	25 	20 	17 	28 	0 	20 
9 	6 	6 	12 	8 	9 	5 	10 	10 	8 	14 	7 	6 
